Number	Part A	Part B	Part C
250	No!	Even	Composite
411	No!	Odd	Composite
118	No!	Even	Composite
178	No!	Even	Composite
233	No!	Odd	Prime
396	Yes!	Even	Composite
432	No!	Even	Composite
30	No!	Even	Composite
370	No!	Even	Composite
392	Yes!	Even	Composite
382	No!	Even	Composite
386	No!	Even	Composite
214	No!	Even	Composite
429	Yes!	Odd	Composite
394	No!	Even	Composite
355	No!	Odd	Composite
52	Yes!	Even	Composite
121	Yes!	Odd	Composite
152	No!	Even	Composite
247	Yes!	Odd	Composite
464	No!	Even	Composite
63	Yes!	Odd	Composite
50	No!	Even	Composite
343	Yes!	Odd	Composite
454	No!	Even	Composite
288	No!	Even	Composite
449	No!	Odd	Prime
39	Yes!	Odd	Composite
342	No!	Even	Composite
129	No!	Odd	Composite
